id;name;description;status;start_date;end_date;enable
1;Armenia compelling;Fresh Codes specifically reserved for testing purposes;NOT_ACTIVE;2020-11-11;2020-11-11;true
2;Burgs;Investor Lebanese Pound;NOT_ACTIVE;2020-11-11;2020-11-10;false
3;Stravenue dynamic Beauty;eyeballs mission-critical;ACTIVE;2020-11-11;2020-11-11;false
4;orchid;Mountains Compatible Incredible;NOT_ACTIVE;2020-11-11;2020-11-11;false
5;Mills;copying synthesizeXX;NOT_ACTIVE;2020-11-10;2020-11-11;true
6;generate invoice Avon;Money Market Account Ergonomic Plastic Table Infrastructure;ACTIVE;2020-11-11;2020-11-11;false
7;Optimization;SDR empower content-based;ACTIVE;2020-11-11;2020-11-11;true
8;Israel orchestration;TurnpikeXXXXXXXXXXXX;NOT_ACTIVE;2020-11-11;2020-11-10;true
9;New York Concrete Togo;SleekXXXXXXXXXXXXXXX;NOT_ACTIVE;2020-11-10;2020-11-11;true
10;microchip parsing feed;Liberian DollarXXXXX;ACTIVE;2020-11-10;2020-11-11;false
